Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup,,,,,,,,,,,,,,,,,,
10 Jul (Mon),34,0,10,21,0,0,,,,,,,,,,,,,,,,,,
11 Jul (Tue),29,0,9,12,0,0,,,,,,,,,,,,,,,,,,
12 Jul (Wed),27,0,21,19,0,0,,,,,,,,,,,,,,,,,,
13 Jul (Thu),28,0,0,14,0,0,,,,,,,,,,,,,,,,,,
14 Jul (Fri),27,0,1,19,0,0,,,,,,,,,,,,,,,,,,
15 Jul (Sat),5,0,10,0,0,0,,,,,,,,,,,,,,,,,,
16 Jul (Sun),6,0,11,0,0,0,,,,,,,,,,,,,,,,,,
17 Jul (Mon),20,0,11,14,0,0,,,,,,,,,,,,,,,,,,
18 Jul (Tue),25,0,11,28,0,0,,,,,,,,,,,,,,,,,,
19 Jul (Wed),25,0,12,20,0,0,,,,,,,,,,,,,,,,,,
20 Jul (Thu),25,0,0,13,0,0,,,,,,,,,,,,,,,,,,
21 Jul (Fri),20,0,0,12,0,0,,,,,,,,,,,,,,,,,,
22 Jul (Sat),0,0,5,0,0,0,,,,,,,,,,,,,,,,,,
23 Jul (Sun),0,0,5,0,0,0,,,,,,,,,,,,,,,,,,
24 Jul (Mon),27,17,4,12,0,0,,,,,,,,,,,,,,,,,,
25 Jul (Tue),30,16,3,16,0,0,,,,,,,,,,,,,,,,,,
26 Jul (Wed),25,13,9,14,0,0,,,,,,,,,,,,,,,,,,
27 Jul (Thu),25,10,0,11,0,0,,,,,,,,,,,,,,,,,,
28 Jul (Fri),30,15,0,11,0,0,,,,,,,,,,,,,,,,,,
29 Jul (Sat),1,0,6,0,0,0,,,,,,,,,,,,,,,,,,
30 Jul (Sun),2,0,5,0,0,0,,,,,,,,,,,,,,,,,,
31 Jul (Mon),28,12,3,4,0,0,,,,,,,,,,,,,,,,,,
1 Aug (Tue),28,12,5,17,0,0,,,,,,,,,,,,,,,,,,
2 Aug (Wed),29,11,13,8,0,0,,,,,,,,,,,,,,,,,,
3 Aug (Thu),30,16,0,5,0,0,,,,,,,,,,,,,,,,,,
4 Aug (Fri),29,17,0,16,0,0,,,,,,,,,,,,,,,,,,
5 Aug (Sat),0,0,3,0,0,0,,,,,,,,,,,,,,,,,,
6 Aug (Sun),0,0,6,0,0,0,,,,,,,,,,,,,,,,,,
7 Aug (Mon),27,11,0,11,0,0,,,,,,,,,,,,,,,,,,
8 Aug (Tue),26,12,10,12,0,0,,,,,,,,,,,,,,,,,,
9 Aug (Wed),2,0,2,0,0,0,,,,,,,,,,,,,,,,,,
10 Aug (Thu),28,15,1,8,0,0,,,,,,,,,,,,,,,,,,
11 Aug (Fri),25,15,0,7,0,0,,,,,,,,,,,,,,,,,,
12 Aug (Sat),0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
13 Aug (Sun),0,0,5,0,0,0,,,,,,,,,,,,,,,,,,
14 Aug (Mon),31,15,9,14,0,0,,,,,,,,,,,,,,,,,,
15 Aug (Tue),31,14,2,14,0,0,,,,,,,,,,,,,,,,,,
